Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,10.2,9.2,1.5
Automatic,1,10.0,8.4,1.6
Automatic,1,10.3,7.9,1.6
Automatic,1,9.6,8.2,1.4
Automatic,1,8.7,7.5,1.4
Automatic,1,7.6,7.7,1.3
Automatic,1,9.7,8.6,1.5
Automatic,1,10.6,9.0,1.6
Automatic,1,10.5,8.6,1.6
Automatic,1,10.6,8.9,1.6
Automatic,1,9.0,7.9,1.5
Automatic,1,10.2,8.9,1.5
Automatic,1,9.8,8.0,1.5
Automatic,1,9.2,7.9,1.5
Automatic,1,10.8,9.0,1.6
Automatic,1,8.8,8.4,1.4
Automatic,1,9.1,8.5,1.5
Automatic,1,10.0,9.0,1.5
Automatic,1,9.6,7.8,1.6
Automatic,1,9.4,7.6,1.5
Automatic,1,9.9,8.3,1.6
Automatic,1,9.5,8.5,1.5
Automatic,1,8.3,7.6,1.4
Automatic,1,8.5,7.4,1.4
Automatic,1,9.3,7.9,1.5
Automatic,1,9.7,9.1,1.5
Automatic,1,10.1,7.9,1.6
Automatic,1,9.5,8.1,1.5
Automatic,1,10.9,9.5,1.6
Automatic,1,10.5,8.8,1.5
Automatic,1,9.3,8.1,1.5
Automatic,1,10.9,8.9,1.6
Automatic,1,9.2,8.1,1.5
Automatic,1,10.4,9.6,1.5
Automatic,1,8.4,7.4,1.4
Automatic,1,9.3,7.8,1.5
Automatic,1,10.1,8.7,1.5
Automatic,1,9.3,7.7,1.5
Automatic,1,9.5,7.9,1.5
Automatic,1,10.3,9.0,1.5
Automatic,1,9.4,8.2,1.4
Automatic,1,10.1,7.9,1.6
Automatic,1,9.4,9.1,1.5
Automatic,1,9.9,8.7,1.5
Automatic,1,9.6,7.7,1.6
Automatic,1,9.4,7.6,1.5
Automatic,1,8.5,7.3,1.4
Automatic,1,9.0,7.8,1.4
Automatic,1,9.5,7.6,1.5
Automatic,1,10.7,8.3,1.6
