Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,10.4,8.4,1.6
Automatic,1,9.0,8.2,1.5
Automatic,1,10.1,9.2,1.5
Automatic,1,10.2,8.3,1.5
Automatic,1,9.9,8.6,1.6
Automatic,1,9.5,8.5,1.5
Automatic,1,7.7,6.9,1.3
Automatic,1,10.0,8.2,1.5
Automatic,1,10.0,9.1,1.6
Automatic,1,8.9,8.1,1.5
Automatic,1,11.3,8.8,1.7
Automatic,1,12.8,9.7,1.8
Automatic,1,9.6,8.5,1.5
Automatic,1,7.9,7.4,1.4
Automatic,1,9.7,8.4,1.5
Automatic,1,7.7,7.1,1.3
Automatic,1,11.3,9.7,1.7
Automatic,1,8.2,7.7,1.5
Automatic,1,9.5,8.9,1.5
Automatic,1,8.5,7.7,1.4
Automatic,1,11.9,9.4,1.8
Automatic,1,8.1,7.2,1.4
Automatic,1,10.2,8.8,1.6
Automatic,1,11.3,10.7,1.7
Automatic,1,8.8,8.8,1.5
Automatic,1,10.5,8.9,1.5
Automatic,1,9.4,9.1,1.6
Automatic,1,9.1,8.2,1.4
Automatic,1,8.5,8.3,1.4
Automatic,1,12.0,10.0,1.7
Automatic,1,9.4,8.7,1.5
Automatic,1,8.2,7.8,1.4
Automatic,1,9.5,8.9,1.6
Automatic,1,9.3,8.2,1.5
Automatic,1,10.6,9.3,1.6
Automatic,1,10.6,9.4,1.6
Automatic,1,9.1,8.6,1.5
Automatic,1,9.0,8.8,1.5
Automatic,1,8.9,8.0,1.5
Automatic,1,11.3,9.2,1.6
Automatic,1,9.3,8.6,1.5
Automatic,1,8.1,7.3,1.5
Automatic,1,9.9,9.3,1.5
Automatic,1,9.2,8.2,1.5
